Site,F01,F12,F23,F34,F45,F56,F67,F78,F89,F910,F1011,F1112,F1213,F1314,F1415,F15,Sites,Site,Year,Month,Day,Hour,Rep,Sites
44,348,2773,1709,90,7,3,0,58,179,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,9,1,2,CE01_20170909_010000.wav1
45,304,2139,2490,46,0,1,0,29,158,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,9,1,3,CE01_20170909_010000.wav2
46,213,1996,2731,41,0,1,1,38,146,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,9,1,4,CE01_20170909_010000.wav3
47,212,2047,2762,19,4,0,1,45,77,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,9,1,5,CE01_20170909_010000.wav4
48,250,2317,2411,65,2,4,1,37,80,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,9,1,6,CE01_20170909_010000.wav5
49,252,1469,3306,42,0,2,0,66,30,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,9,2,1,CE01_20170909_020000.wav
50,197,1183,3559,45,0,5,0,71,107,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,9,2,2,CE01_20170909_020000.wav1
51,308,1161,3486,52,0,1,0,43,116,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,9,2,3,CE01_20170909_020000.wav2
52,192,1108,3618,40,0,0,0,57,152,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,9,2,4,CE01_20170909_020000.wav3
53,122,751,4043,16,2,7,0,23,203,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,9,2,5,CE01_20170909_020000.wav4
54,197,1859,2877,52,9,5,0,9,159,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,9,2,6,CE01_20170909_020000.wav5
55,2461,635,2030,9,0,12,0,10,10,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,9,3,1,CE01_20170909_030000.wav
56,1725,845,2554,22,0,0,1,4,16,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,9,3,2,CE01_20170909_030000.wav1
57,1051,1105,2966,17,0,0,2,2,24,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,9,3,3,CE01_20170909_030000.wav2
58,776,1480,2819,40,0,24,1,8,19,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,9,3,4,CE01_20170909_030000.wav3
59,443,1665,2979,27,1,10,0,7,35,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,9,3,5,CE01_20170909_030000.wav4
60,266,1701,3096,53,0,1,1,6,43,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,9,3,6,CE01_20170909_030000.wav5
61,3213,595,885,370,80,2,21,1,0,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,9,7,1,CE01_20170909_070000.wav
62,2788,818,1396,138,1,5,18,3,0,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,9,7,2,CE01_20170909_070000.wav1
63,3077,652,1356,75,0,0,7,0,0,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,9,7,3,CE01_20170909_070000.wav2
64,3180,783,1011,181,6,1,5,0,0,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,9,7,4,CE01_20170909_070000.wav3
65,3335,591,720,314,63,1,20,123,0,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,9,7,5,CE01_20170909_070000.wav4
66,3723,571,523,274,53,1,18,4,0,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,9,7,6,CE01_20170909_070000.wav5
67,267,1137,3457,305,1,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,9,8,1,CE01_20170909_080000.wav
68,132,923,3506,606,0,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,9,8,2,CE01_20170909_080000.wav1
69,377,650,2922,1217,1,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,9,8,3,CE01_20170909_080000.wav2
70,555,838,3210,555,0,9,0,0,0,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,9,8,4,CE01_20170909_080000.wav3
71,450,1074,3625,18,0,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,9,8,5,CE01_20170909_080000.wav4
72,264,979,3923,1,0,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,9,8,6,CE01_20170909_080000.wav5
73,89,901,4159,17,1,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,9,9,1,CE01_20170909_090000.wav
74,294,905,3818,149,0,0,0,1,0,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,9,9,2,CE01_20170909_090000.wav1
75,733,615,3386,425,0,0,8,0,0,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,9,9,3,CE01_20170909_090000.wav2
76,882,430,2330,1514,5,4,2,0,0,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,9,9,4,CE01_20170909_090000.wav3
77,947,222,1219,84,2688,1,5,1,0,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,9,9,5,CE01_20170909_090000.wav4
78,1380,594,3122,53,0,2,15,1,0,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,9,9,6,CE01_20170909_090000.wav5
79,0,414,4629,123,0,0,0,1,0,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,9,10,1,CE01_20170909_100000.wav
80,0,379,4753,33,0,0,0,2,0,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,9,10,2,CE01_20170909_100000.wav1
81,0,432,4694,38,0,0,0,3,0,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,9,10,3,CE01_20170909_100000.wav2
82,0,510,4602,55,0,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,9,10,4,CE01_20170909_100000.wav3
83,0,527,4512,127,0,0,0,1,0,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,9,10,5,CE01_20170909_100000.wav4
84,0,541,4601,25,0,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,9,10,6,CE01_20170909_100000.wav5
85,15,701,4403,48,0,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,9,11,1,CE01_20170909_110000.wav
86,23,843,4242,59,0,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,9,11,2,CE01_20170909_110000.wav1
87,21,992,3679,100,375,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,9,11,3,CE01_20170909_110000.wav2
88,68,597,3092,37,1373,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,9,11,4,CE01_20170909_110000.wav3
89,168,576,3086,259,1078,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,9,11,5,CE01_20170909_110000.wav4
90,107,53,472,1726,2809,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,9,11,6,CE01_20170909_110000.wav5
91,641,1015,3113,398,0,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,9,12,1,CE01_20170909_120000.wav
92,142,532,2453,130,1910,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,9,12,2,CE01_20170909_120000.wav1
93,76,906,3749,436,0,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,9,12,3,CE01_20170909_120000.wav2
94,72,622,3806,664,3,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,9,12,4,CE01_20170909_120000.wav3
95,46,547,3941,632,1,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,9,12,5,CE01_20170909_120000.wav4
96,13,695,4172,287,0,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,9,12,6,CE01_20170909_120000.wav5
97,829,822,2914,591,4,0,7,0,0,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,9,13,1,CE01_20170909_130000.wav
98,873,736,2403,1154,0,1,0,0,0,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,9,13,2,CE01_20170909_130000.wav1
