Site,F01,F12,F23,F34,F45,F56,F67,F78,F89,F910,F1011,F1112,F1213,F1314,F1415,F15,Sites,Site,Year,Month,Day,Hour,Rep,Sites
10488,5037,11,2,116,0,1,0,0,0,0,0,0,0,0,0,0,Ceibo,CE07,2018,2,11,11,6,CE07_20180211_110000.wav5
10489,3545,1,0,1621,0,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE07,2018,2,11,12,1,CE07_20180211_120000.wav
10490,1987,0,115,3065,0,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE07,2018,2,11,12,2,CE07_20180211_120000.wav1
10491,2958,1,0,2208,0,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE07,2018,2,11,12,3,CE07_20180211_120000.wav2
10492,4058,0,2,1107,0,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE07,2018,2,11,12,4,CE07_20180211_120000.wav3
10493,4253,0,0,914,0,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE07,2018,2,11,12,5,CE07_20180211_120000.wav4
10494,3476,0,0,1691,0,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE07,2018,2,11,12,6,CE07_20180211_120000.wav5
10495,4042,62,0,1063,0,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE07,2018,2,11,13,1,CE07_20180211_130000.wav
10496,4005,59,0,1103,0,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE07,2018,2,11,13,2,CE07_20180211_130000.wav1
10497,4377,10,75,704,1,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE07,2018,2,11,13,3,CE07_20180211_130000.wav2
10498,2390,17,756,2004,0,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE07,2018,2,11,13,4,CE07_20180211_130000.wav3
10499,3324,12,0,1831,0,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE07,2018,2,11,13,5,CE07_20180211_130000.wav4
10500,3308,25,1,1833,0,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE07,2018,2,11,13,6,CE07_20180211_130000.wav5
10501,3439,789,597,323,17,0,1,1,0,0,0,0,0,0,0,0,Ceibo,CE07,2018,2,11,14,1,CE07_20180211_140000.wav
10502,3142,595,1086,334,10,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE07,2018,2,11,14,2,CE07_20180211_140000.wav1
10503,2401,377,2068,311,10,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE07,2018,2,11,14,3,CE07_20180211_140000.wav2
10504,2113,292,2486,261,13,0,1,1,0,0,0,0,0,0,0,0,Ceibo,CE07,2018,2,11,14,4,CE07_20180211_140000.wav3
10505,2400,316,2137,294,20,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE07,2018,2,11,14,5,CE07_20180211_140000.wav4
10506,2641,346,1898,269,13,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE07,2018,2,11,14,6,CE07_20180211_140000.wav5
10507,74,82,1628,3383,0,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE07,2018,2,11,18,1,CE07_20180211_180000.wav
10508,300,316,2537,2014,0,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE07,2018,2,11,18,2,CE07_20180211_180000.wav1
10509,204,51,2455,2457,0,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE07,2018,2,11,18,3,CE07_20180211_180000.wav2
10510,604,13,3552,998,0,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE07,2018,2,11,18,4,CE07_20180211_180000.wav3
10511,378,93,3928,768,0,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE07,2018,2,11,18,5,CE07_20180211_180000.wav4
10512,2043,77,2627,420,0,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE07,2018,2,11,18,6,CE07_20180211_180000.wav5
10513,1948,69,2977,172,1,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE07,2018,2,11,19,1,CE07_20180211_190000.wav
10514,1719,122,3220,106,0,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE07,2018,2,11,19,2,CE07_20180211_190000.wav1
10515,2347,55,2687,78,0,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE07,2018,2,11,19,3,CE07_20180211_190000.wav2
10516,1721,89,2819,537,1,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE07,2018,2,11,19,4,CE07_20180211_190000.wav3
10517,1057,93,3987,30,0,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE07,2018,2,11,19,5,CE07_20180211_190000.wav4
10518,525,33,4552,57,0,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE07,2018,2,11,19,6,CE07_20180211_190000.wav5
10519,1623,215,3318,11,0,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE07,2018,2,11,20,1,CE07_20180211_200000.wav
10520,1687,130,3338,10,0,0,0,0,2,0,0,0,0,0,0,0,Ceibo,CE07,2018,2,11,20,2,CE07_20180211_200000.wav1
10521,2431,241,2474,19,0,0,0,1,0,1,0,0,0,0,0,0,Ceibo,CE07,2018,2,11,20,3,CE07_20180211_200000.wav2
10522,2983,217,1941,26,0,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE07,2018,2,11,20,4,CE07_20180211_200000.wav3
10523,1810,152,3186,19,0,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE07,2018,2,11,20,5,CE07_20180211_200000.wav4
10524,2111,255,2797,4,0,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE07,2018,2,11,20,6,CE07_20180211_200000.wav5
10525,600,155,4229,183,0,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE07,2018,2,11,21,1,CE07_20180211_210000.wav
10526,558,428,4124,50,4,2,1,0,0,0,0,0,0,0,0,0,Ceibo,CE07,2018,2,11,21,2,CE07_20180211_210000.wav1
10527,852,113,3550,647,5,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE07,2018,2,11,21,3,CE07_20180211_210000.wav2
10528,1118,324,3530,193,2,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE07,2018,2,11,21,4,CE07_20180211_210000.wav3
10529,1148,252,3599,165,3,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE07,2018,2,11,21,5,CE07_20180211_210000.wav4
10530,545,249,4106,265,0,0,0,0,0,2,0,0,0,0,0,0,Ceibo,CE07,2018,2,11,21,6,CE07_20180211_210000.wav5
10531,1518,333,3278,38,0,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE07,2018,2,11,22,1,CE07_20180211_220000.wav
10532,1299,263,3536,51,0,0,0,10,8,0,0,0,0,0,0,0,Ceibo,CE07,2018,2,11,22,2,CE07_20180211_220000.wav1
10533,1336,620,3192,18,0,0,0,0,0,1,0,0,0,0,0,0,Ceibo,CE07,2018,2,11,22,3,CE07_20180211_220000.wav2
10534,1303,825,3029,10,0,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE07,2018,2,11,22,4,CE07_20180211_220000.wav3
10535,1290,1256,2620,1,0,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE07,2018,2,11,22,5,CE07_20180211_220000.wav4
10536,1360,1115,2674,18,0,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE07,2018,2,11,22,6,CE07_20180211_220000.wav5
10537,1028,1156,2940,43,0,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE07,2018,2,11,23,1,CE07_20180211_230000.wav
10538,931,48,3680,508,0,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE07,2018,2,11,23,2,CE07_20180211_230000.wav1
10539,511,469,4068,119,0,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE07,2018,2,11,23,3,CE07_20180211_230000.wav2
10540,889,714,3486,78,0,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE07,2018,2,11,23,4,CE07_20180211_230000.wav3
10541,946,600,3490,129,0,0,0,2,0,0,0,0,0,0,0,0,Ceibo,CE07,2018,2,11,23,5,CE07_20180211_230000.wav4
10542,633,596,3503,435,0,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE07,2018,2,11,23,6,CE07_20180211_230000.wav5
10543,872,138,3844,310,0,0,0,3,0,0,0,0,0,0,0,0,Ceibo,CE07,2018,2,12,0,1,CE07_20180212_000000.wav
10544,1069,119,3830,149,0,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE07,2018,2,12,0,2,CE07_20180212_000000.wav1
10545,1327,123,3577,139,0,0,0,1,0,0,0,0,0,0,0,0,Ceibo,CE07,2018,2,12,0,3,CE07_20180212_000000.wav2
10546,1240,216,3644,66,0,0,0,1,0,0,0,0,0,0,0,0,Ceibo,CE07,2018,2,12,0,4,CE07_20180212_000000.wav3
10547,1126,148,3814,79,0,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE07,2018,2,12,0,5,CE07_20180212_000000.wav4
10548,1028,116,3860,163,0,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE07,2018,2,12,0,6,CE07_20180212_000000.wav5
10549,1289,142,3623,113,0,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE07,2018,2,12,1,1,CE07_20180212_010000.wav
10550,2077,138,2867,85,0,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE07,2018,2,12,1,2,CE07_20180212_010000.wav1
10551,1506,108,3128,425,0,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE07,2018,2,12,1,3,CE07_20180212_010000.wav2
10552,1783,94,3193,97,0,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE07,2018,2,12,1,4,CE07_20180212_010000.wav3
10553,1723,149,3096,199,0,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE07,2018,2,12,1,5,CE07_20180212_010000.wav4
10554,2412,122,2191,441,0,0,0,1,0,0,0,0,0,0,0,0,Ceibo,CE07,2018,2,12,1,6,CE07_20180212_010000.wav5
10555,3641,82,1340,104,0,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE07,2018,2,12,2,1,CE07_20180212_020000.wav
10556,3342,38,1714,73,0,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE07,2018,2,12,2,2,CE07_20180212_020000.wav1
10557,2934,98,1969,166,0,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE07,2018,2,12,2,3,CE07_20180212_020000.wav2
10558,3059,83,1923,102,0,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE07,2018,2,12,2,4,CE07_20180212_020000.wav3
10559,2370,80,2642,74,0,0,1,0,0,0,0,0,0,0,0,0,Ceibo,CE07,2018,2,12,2,5,CE07_20180212_020000.wav4
10560,2247,71,2658,191,0,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE07,2018,2,12,2,6,CE07_20180212_020000.wav5
10561,1989,85,3018,75,0,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE07,2018,2,12,3,1,CE07_20180212_030000.wav
10562,2095,127,2891,54,0,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE07,2018,2,12,3,2,CE07_20180212_030000.wav1
10563,1955,50,3116,46,0,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE07,2018,2,12,3,3,CE07_20180212_030000.wav2
10564,1677,123,3207,160,0,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE07,2018,2,12,3,4,CE07_20180212_030000.wav3
10565,2465,151,2520,30,0,0,0,1,0,0,0,0,0,0,0,0,Ceibo,CE07,2018,2,12,3,5,CE07_20180212_030000.wav4
10566,2104,128,2871,64,0,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE07,2018,2,12,3,6,CE07_20180212_030000.wav5
10567,3580,1049,388,150,0,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE07,2018,2,12,7,1,CE07_20180212_070000.wav
10568,4275,813,59,20,0,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE07,2018,2,12,7,2,CE07_20180212_070000.wav1
10569,4410,636,105,16,0,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE07,2018,2,12,7,3,CE07_20180212_070000.wav2
10570,4015,772,113,267,0,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE07,2018,2,12,7,4,CE07_20180212_070000.wav3
10571,3902,703,197,364,1,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE07,2018,2,12,7,5,CE07_20180212_070000.wav4
10572,4415,599,109,44,0,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE07,2018,2,12,7,6,CE07_20180212_070000.wav5
10573,5068,51,4,44,0,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE07,2018,2,12,8,1,CE07_20180212_080000.wav
10574,4978,89,31,68,0,1,0,0,0,0,0,0,0,0,0,0,Ceibo,CE07,2018,2,12,8,2,CE07_20180212_080000.wav1
10575,4994,7,19,147,0,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE07,2018,2,12,8,3,CE07_20180212_080000.wav2
10576,4655,26,280,206,0,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE07,2018,2,12,8,4,CE07_20180212_080000.wav3
10577,4429,54,469,205,10,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE07,2018,2,12,8,5,CE07_20180212_080000.wav4
10578,4684,28,258,197,0,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE07,2018,2,12,8,6,CE07_20180212_080000.wav5
10579,13,0,14,5140,0,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE08,2018,2,9,18,1,CE08_20180209_180000.wav
10580,0,0,33,5134,0,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE08,2018,2,9,18,2,CE08_20180209_180000.wav1
10581,128,6,29,5004,0,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE08,2018,2,9,18,3,CE08_20180209_180000.wav2
10582,1800,0,14,3353,0,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE08,2018,2,9,18,4,CE08_20180209_180000.wav3
10583,2994,2,4,2167,0,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE08,2018,2,9,18,5,CE08_20180209_180000.wav4
10584,2527,1,4,2635,0,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE08,2018,2,9,18,6,CE08_20180209_180000.wav5
10585,1039,2,2856,1261,0,0,0,0,9,0,0,0,0,0,0,0,Ceibo,CE08,2018,2,9,19,1,CE08_20180209_190000.wav
10586,1289,17,2907,945,0,0,0,1,8,0,0,0,0,0,0,0,Ceibo,CE08,2018,2,9,19,2,CE08_20180209_190000.wav1
10587,1398,16,2830,905,0,0,0,0,18,0,0,0,0,0,0,0,Ceibo,CE08,2018,2,9,19,3,CE08_20180209_190000.wav2
10588,1101,3,2735,1321,0,0,0,0,7,0,0,0,0,0,0,0,Ceibo,CE08,2018,2,9,19,4,CE08_20180209_190000.wav3
10589,2232,13,2245,677,0,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE08,2018,2,9,19,5,CE08_20180209_190000.wav4
10590,2380,11,2225,551,0,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE08,2018,2,9,19,6,CE08_20180209_190000.wav5
10591,1239,7,3266,654,0,0,0,0,0,1,0,0,0,0,0,0,Ceibo,CE08,2018,2,9,20,1,CE08_20180209_200000.wav
10592,1244,41,3218,662,0,0,0,0,0,2,0,0,0,0,0,0,Ceibo,CE08,2018,2,9,20,2,CE08_20180209_200000.wav1
10593,1426,59,2736,946,0,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE08,2018,2,9,20,3,CE08_20180209_200000.wav2
10594,1459,81,2906,717,0,0,0,0,0,3,1,0,0,0,0,0,Ceibo,CE08,2018,2,9,20,4,CE08_20180209_200000.wav3
10595,1254,124,3003,785,0,0,0,1,0,0,0,0,0,0,0,0,Ceibo,CE08,2018,2,9,20,5,CE08_20180209_200000.wav4
10596,1517,48,2953,647,0,0,0,1,0,1,0,0,0,0,0,0,Ceibo,CE08,2018,2,9,20,6,CE08_20180209_200000.wav5
10597,2262,62,2495,345,0,1,0,0,0,2,0,0,0,0,0,0,Ceibo,CE08,2018,2,9,21,1,CE08_20180209_210000.wav
10598,2039,70,2679,378,0,0,0,0,1,0,0,0,0,0,0,0,Ceibo,CE08,2018,2,9,21,2,CE08_20180209_210000.wav1
10599,2033,41,2754,339,0,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE08,2018,2,9,21,3,CE08_20180209_210000.wav2
10600,1999,85,2624,454,0,0,0,0,5,0,0,0,0,0,0,0,Ceibo,CE08,2018,2,9,21,4,CE08_20180209_210000.wav3
10601,1976,104,2409,678,0,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE08,2018,2,9,21,5,CE08_20180209_210000.wav4
10602,2158,90,2073,840,0,0,0,1,2,3,0,0,0,0,0,0,Ceibo,CE08,2018,2,9,21,6,CE08_20180209_210000.wav5
10603,3797,4,1158,206,2,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE08,2018,2,9,22,1,CE08_20180209_220000.wav
10604,3402,41,1474,207,28,12,1,2,0,0,0,0,0,0,0,0,Ceibo,CE08,2018,2,9,22,2,CE08_20180209_220000.wav1
10605,4019,19,1106,23,0,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE08,2018,2,9,22,3,CE08_20180209_220000.wav2
10606,3719,16,1382,49,0,0,1,0,0,0,0,0,0,0,0,0,Ceibo,CE08,2018,2,9,22,4,CE08_20180209_220000.wav3
10607,3926,370,825,15,29,1,1,0,0,0,0,0,0,0,0,0,Ceibo,CE08,2018,2,9,22,5,CE08_20180209_220000.wav4
10608,4856,224,70,11,4,1,1,0,0,0,0,0,0,0,0,0,Ceibo,CE08,2018,2,9,22,6,CE08_20180209_220000.wav5
10609,4300,111,433,319,3,0,1,0,0,0,0,0,0,0,0,0,Ceibo,CE08,2018,2,9,23,1,CE08_20180209_230000.wav
10610,3868,186,531,579,1,1,1,0,0,0,0,0,0,0,0,0,Ceibo,CE08,2018,2,9,23,2,CE08_20180209_230000.wav1
10611,3454,179,631,901,2,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE08,2018,2,9,23,3,CE08_20180209_230000.wav2
10612,3124,155,580,1305,3,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE08,2018,2,9,23,4,CE08_20180209_230000.wav3
10613,3129,149,633,1255,1,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE08,2018,2,9,23,5,CE08_20180209_230000.wav4
10614,2808,121,660,1578,0,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE08,2018,2,9,23,6,CE08_20180209_230000.wav5
10615,3468,128,1222,345,0,1,0,2,1,0,0,0,0,0,0,0,Ceibo,CE08,2018,2,10,0,1,CE08_20180210_000000.wav
10616,3451,209,1146,358,2,0,1,0,0,0,0,0,0,0,0,0,Ceibo,CE08,2018,2,10,0,2,CE08_20180210_000000.wav1
10617,2699,197,1606,664,0,1,0,0,0,0,0,0,0,0,0,0,Ceibo,CE08,2018,2,10,0,3,CE08_20180210_000000.wav2
10618,3497,73,1038,557,0,0,0,0,2,0,0,0,0,0,0,0,Ceibo,CE08,2018,2,10,0,4,CE08_20180210_000000.wav3
10619,3867,131,763,405,0,1,0,0,0,0,0,0,0,0,0,0,Ceibo,CE08,2018,2,10,0,5,CE08_20180210_000000.wav4
10620,3578,187,1071,329,2,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE08,2018,2,10,0,6,CE08_20180210_000000.wav5
10621,3897,136,1053,81,0,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE08,2018,2,10,1,1,CE08_20180210_010000.wav
10622,3104,275,1597,191,0,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE08,2018,2,10,1,2,CE08_20180210_010000.wav1
10623,2612,194,2097,262,0,0,0,0,1,1,0,0,0,0,0,0,Ceibo,CE08,2018,2,10,1,3,CE08_20180210_010000.wav2
10624,3170,219,1556,173,4,1,0,36,7,1,0,0,0,0,0,0,Ceibo,CE08,2018,2,10,1,4,CE08_20180210_010000.wav3
10625,3568,223,1278,97,0,1,0,0,0,0,0,0,0,0,0,0,Ceibo,CE08,2018,2,10,1,5,CE08_20180210_010000.wav4
10626,3017,166,1778,205,1,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE08,2018,2,10,1,6,CE08_20180210_010000.wav5
10627,2599,236,2183,138,0,0,0,0,0,10,1,0,0,0,0,0,Ceibo,CE08,2018,2,10,2,1,CE08_20180210_020000.wav
10628,2595,274,2079,210,0,0,0,3,5,1,0,0,0,0,0,0,Ceibo,CE08,2018,2,10,2,2,CE08_20180210_020000.wav1
10629,3827,267,1007,66,0,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE08,2018,2,10,2,3,CE08_20180210_020000.wav2
10630,3124,250,1703,90,0,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE08,2018,2,10,2,4,CE08_20180210_020000.wav3
10631,3195,193,1646,133,0,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE08,2018,2,10,2,5,CE08_20180210_020000.wav4
10632,2747,286,1989,145,0,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE08,2018,2,10,2,6,CE08_20180210_020000.wav5
10633,4942,205,17,2,1,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE08,2018,2,10,3,1,CE08_20180210_030000.wav
10634,4921,192,46,4,3,0,1,0,0,0,0,0,0,0,0,0,Ceibo,CE08,2018,2,10,3,2,CE08_20180210_030000.wav1
10635,4897,210,51,8,1,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE08,2018,2,10,3,3,CE08_20180210_030000.wav2
10636,4928,183,46,8,2,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE08,2018,2,10,3,4,CE08_20180210_030000.wav3
10637,4839,233,84,9,1,0,1,0,0,0,0,0,0,0,0,0,Ceibo,CE08,2018,2,10,3,5,CE08_20180210_030000.wav4
10638,4795,258,102,9,3,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE08,2018,2,10,3,6,CE08_20180210_030000.wav5
10639,5126,8,27,5,1,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE08,2018,2,10,7,1,CE08_20180210_070000.wav
10640,5122,6,39,0,0,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE08,2018,2,10,7,2,CE08_20180210_070000.wav1
10641,5111,5,48,3,0,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE08,2018,2,10,7,3,CE08_20180210_070000.wav2
10642,5098,4,56,9,0,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE08,2018,2,10,7,4,CE08_20180210_070000.wav3
10643,5090,9,58,10,0,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE08,2018,2,10,7,5,CE08_20180210_070000.wav4
10644,5052,49,58,8,0,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE08,2018,2,10,7,6,CE08_20180210_070000.wav5
10645,4945,191,25,5,1,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE08,2018,2,10,8,1,CE08_20180210_080000.wav
10646,4978,161,18,8,2,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE08,2018,2,10,8,2,CE08_20180210_080000.wav1
10647,4950,189,18,9,1,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE08,2018,2,10,8,3,CE08_20180210_080000.wav2
10648,4955,195,13,4,0,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE08,2018,2,10,8,4,CE08_20180210_080000.wav3
10649,4998,152,12,5,0,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE08,2018,2,10,8,5,CE08_20180210_080000.wav4
10650,4999,150,12,4,2,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE08,2018,2,10,8,6,CE08_20180210_080000.wav5
10651,5004,97,31,30,5,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE08,2018,2,10,9,1,CE08_20180210_090000.wav
10652,4949,148,40,22,5,2,0,1,0,0,0,0,0,0,0,0,Ceibo,CE08,2018,2,10,9,2,CE08_20180210_090000.wav1
10653,4978,133,37,14,3,1,1,0,0,0,0,0,0,0,0,0,Ceibo,CE08,2018,2,10,9,3,CE08_20180210_090000.wav2
10654,4953,137,37,37,2,1,0,0,0,0,0,0,0,0,0,0,Ceibo,CE08,2018,2,10,9,4,CE08_20180210_090000.wav3
10655,4801,110,81,168,7,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE08,2018,2,10,9,5,CE08_20180210_090000.wav4
10656,4768,144,127,84,42,1,1,0,0,0,0,0,0,0,0,0,Ceibo,CE08,2018,2,10,9,6,CE08_20180210_090000.wav5
10657,4847,66,232,19,2,1,0,0,0,0,0,0,0,0,0,0,Ceibo,CE08,2018,2,10,10,1,CE08_20180210_100000.wav
10658,4971,62,96,26,9,1,2,0,0,0,0,0,0,0,0,0,Ceibo,CE08,2018,2,10,10,2,CE08_20180210_100000.wav1
10659,4798,55,293,18,3,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE08,2018,2,10,10,3,CE08_20180210_100000.wav2
10660,4982,44,122,13,6,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE08,2018,2,10,10,4,CE08_20180210_100000.wav3
10661,4892,43,213,17,2,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE08,2018,2,10,10,5,CE08_20180210_100000.wav4
10662,4736,39,372,14,5,0,1,0,0,0,0,0,0,0,0,0,Ceibo,CE08,2018,2,10,10,6,CE08_20180210_100000.wav5
10663,4907,197,43,20,0,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE08,2018,2,10,11,1,CE08_20180210_110000.wav
10664,4921,189,39,18,0,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE08,2018,2,10,11,2,CE08_20180210_110000.wav1
10665,4883,229,36,19,0,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE08,2018,2,10,11,3,CE08_20180210_110000.wav2
10666,4931,174,46,14,2,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE08,2018,2,10,11,4,CE08_20180210_110000.wav3
10667,4894,216,36,19,2,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE08,2018,2,10,11,5,CE08_20180210_110000.wav4
10668,4918,191,39,19,0,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE08,2018,2,10,11,6,CE08_20180210_110000.wav5
10669,4932,17,176,40,2,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE08,2018,2,10,12,1,CE08_20180210_120000.wav
10670,4878,12,237,36,4,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE08,2018,2,10,12,2,CE08_20180210_120000.wav1
10671,4636,22,399,104,6,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE08,2018,2,10,12,3,CE08_20180210_120000.wav2
10672,4738,43,287,81,17,1,0,0,0,0,0,0,0,0,0,0,Ceibo,CE08,2018,2,10,12,4,CE08_20180210_120000.wav3
10673,4571,32,371,157,36,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE08,2018,2,10,12,5,CE08_20180210_120000.wav4
10674,4126,111,721,167,42,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE08,2018,2,10,12,6,CE08_20180210_120000.wav5
10675,4830,196,88,49,4,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE08,2018,2,10,13,1,CE08_20180210_130000.wav
10676,4831,218,65,48,3,1,1,0,0,0,0,0,0,0,0,0,Ceibo,CE08,2018,2,10,13,2,CE08_20180210_130000.wav1
10677,4843,239,51,32,2,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE08,2018,2,10,13,3,CE08_20180210_130000.wav2
10678,4887,181,61,38,0,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE08,2018,2,10,13,4,CE08_20180210_130000.wav3
10679,4801,206,86,71,2,0,1,0,0,0,0,0,0,0,0,0,Ceibo,CE08,2018,2,10,13,5,CE08_20180210_130000.wav4
